"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","Segmentos de público","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - RAIZA 3","LP - 1",existing,archived,ad,2.73641717,28809,0.11524176,,673.12548091,264,192,2.54971773,,23.36511093,"Compras no site",48.08039149,62,0.0530303,14,5.22615783,"Valor de conversão da compra no site",3517.86,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - BOFU 3 — Cópia","[HIBRIDO] [ESTATICO ORG.] [BID 60]",prospecting,inactive,ad,1.38050722,28796,0,,203.50503731,116,95,1.75435377,,7.06712867,"Compras no site",67.83501244,13,0.02586207,3,3.09387919,"Valor de conversão da compra no site",629.62,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - EVELYN TOFU","[TESTE PB FECHADO]",prospecting,active,ad,1.13546242,28692,0.40310888,,741.95012369,448,310,1.65613867,,25.85912881,"Compras no site",92.74376546,37,0.01785714,8,1.89023488,"Valor de conversão da compra no site",1402.46,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",AD6,"[VINAGRE] [RMKT]",prospecting,inactive,ad,1.72945122,28363,0,,815.82539087,222,165,3.67488915,,28.76372002,"Compras no site",74.16594462,44,0.04954955,11,2.32877037,"Valor de conversão da compra no site",1899.87,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - LIS TOFU","Conj - Vm",prospecting,inactive,ad,1.40347222,28294,0.31427158,,1361.61949943,600,491,2.26936583,,48.12396619,"Compras no site",123.78359086,63,0.01833333,11,1.3751125,"Valor de conversão da compra no site",1872.38,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - BOFU — Cópia","[PUBLICO ENG.] [DR]",engaged,active,ad,2.21406752,28267,0,,985.24207068,418,320,2.35703845,,34.85485091,"Compras no site",46.91628908,75,0.05023923,21,4.97945647,"Valor de conversão da compra no site",4905.97,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]","AD - MORGANA TOFU","[CAMPANHA AQUISIÇÃO]",engaged,active,ad,2.52373262,28127,0.31560422,,353.8144861,1466,1087,0.24134685,,12.5791761,"Compras no site",70.76289722,26,0.00341064,5,2.79248035,"Valor de conversão da compra no site",988.02,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]","[Criativo 2 Digestino] — Cópia","[DIGESTINO] [RMKT]",engaged,not_delivering,ad,2.34388309,28068,0,,266.98997884,243,156,1.09872419,,9.5122552,"Compras no site",133.49498942,15,0.00823045,2,2.02925219,"Valor de conversão da compra no site",541.79,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]","AD - RMKT PERFIL DENA + JEJOOM",[RMK],prospecting,active,ad,1.3204222,28022,0,,265.50987133,75,57,3.54013162,,9.47505072,"Compras no site",132.75493567,6,0.02666667,2,1.21882474,"Valor de conversão da compra no site",323.61,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","tons 3 - 25-11","[PUBLICO ENG.] [DR]",existing,inactive,ad,1.33927374,27956,0.40767635,,1193.7156107,516,429,2.31340235,,42.69980007,"Compras no site",47.74862443,101,0.04844961,25,4.11486618,"Valor de conversão da compra no site",4911.98,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","[VERÃO 3] [BOFU]","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,not_delivering,ad,1.86889305,27925,0,,688.92025886,207,170,3.32811719,,24.67037632,"Compras no site",68.89202589,47,0.04830918,10,2.26963858,"Valor de conversão da compra no site",1563.6,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JESSICA","Arte Organica - Digestino",prospecting,not_delivering,ad,1.39459621,27924,0.13561811,,229.2886878,160,124,1.4330543,,8.21116917,"Compras no site",76.4295626,6,0.01875,3,2.95208633,"Valor de conversão da compra no site",676.88,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - ISA MOFU","teste aquisição ate dia 15  - Lm",engaged,inactive,ad,2.01932962,27893,0.21618327,,484.94285544,277,180,1.75069623,,17.38582639,"Compras no site",69.27755078,11,0.02527076,7,2.18112297,"Valor de conversão da compra no site",1057.72,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","V - LUCIANA MOFU LP OLD","[EXCLUSÃO BASE] [ADV. +]",prospecting,active,ad,1.18340834,27874,0.17733372,,381.53976125,225,176,1.69573227,,13.68801612,"Compras no site",95.38494031,21,0.01777778,4,2.24422219,"Valor de conversão da compra no site",856.26,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","tons1_rmkt_20-10-2025 — Cópia","LP NOVA",prospecting,inactive,ad,1.92107079,27844,0,,508.52957183,183,146,2.77885012,,18.26352434,"Compras no site",63.56619648,22,0.04371585,8,4.17198943,"Valor de conversão da compra no site",2121.58,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS1 - 18-02 — Cópia","Carrossel - Lm",prospecting,inactive,ad,1.69426791,27725,0,,554.48750229,243,211,2.28184157,,19.99954923,"Compras no site",79.21250033,18,0.02880658,7,2.59484658,"Valor de conversão da compra no site",1438.81,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","ADSS - ORGANICO","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",existing,inactive,ad,2.79161206,27690,0,,761.02937768,220,129,3.45922444,,27.48390674,"Compras no site",63.41911481,37,0.05454545,12,3.14096942,"Valor de conversão da compra no site",2390.37,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - ISA MOFU","teste aquisição ate dia 15  - Lm",engaged,inactive,ad,1.82531646,27398,0.14548507,,576.54184628,241,193,2.39228982,,21.04320922,"Compras no site",82.3631209,24,0.02904564,7,1.77787615,"Valor de conversão da compra no site",1025.02,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","ADS - DR 2","[PUBLICO ENG.] [DR]",engaged,inactive,ad,1.9519526,27341,0.19490875,,847.88561994,482,364,1.7590988,,31.01150726,"Compras no site",56.525708,62,0.03112033,15,3.96105314,"Valor de conversão da compra no site",3358.52,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 2","Evelyn Regly - LM",existing,not_delivering,ad,3.29074837,27175,0.0949402,,547.39,427,236,1.28194379,,20.14314627,"Compras no site",54.739,24,0.0234192,10,4.52595042,"Valor de conversão da compra no site",2477.46,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]","ADS1 - VM — Cópia","[VINAGRE] [RMKT]",existing,inactive,ad,2.60501056,27139,0,,1113.16301106,318,233,3.50051261,,41.01709757,"Compras no site",61.8423895,66,0.05660377,18,3.83754217,"Valor de conversão da compra no site",4271.81,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 5","Evelyn Regly BM - LM",engaged,not_delivering,ad,1.87298958,27134,0.15677747,,739.87577532,298,240,2.48280462,,27.267479,"Compras no site",56.91352118,40,0.04362416,13,2.80544393,"Valor de conversão da compra no site",2075.68,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - ISA MOFU","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",engaged,inactive,ad,1.33658271,27011,0.46469957,,940.57267423,471,418,1.99696958,,34.8218383,"Compras no site",104.50807491,53,0.01910828,9,1.66851541,"Valor de conversão da compra no site",1569.36,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]","AD11 - EVELYN","[VINAGRE] [RMKT]",engaged,inactive,ad,2.59045516,26977,0.24565371,,464.64200475,461,297,1.00790023,,17.22363512,"Compras no site",58.08025059,40,0.01735358,8,5.45415605,"Valor de conversão da compra no site",2534.23,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","ADS - ISA NOGUEIRA","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,inactive,ad,1.21692978,26826,0.27931857,,753.88879553,316,266,2.38572404,,28.10291492,"Compras no site",188.47219888,27,0.01265823,4,0.98440248,"Valor de conversão da compra no site",742.13,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - TOFU","[PUBLICO ENG.] [DR]",prospecting,inactive,ad,1.24541135,26734,0.19884791,,854.12359329,396,338,2.15687776,,31.94896362,"Compras no site",122.01765618,71,0.01767677,7,1.78098347,"Valor de conversão da compra no site",1521.18,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - NIVER 4","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",existing,not_delivering,ad,2.02235062,26602,0.23945568,,1467.55,567,434,2.5882716,,55.16690474,"Compras no site",73.3775,62,0.03527337,20,2.78547239,"Valor de conversão da compra no site",4087.82,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 4 — Cópia","teste aquisição ate dia 15  - Lm",existing,not_delivering,ad,3.33056604,26478,0.13180754,,399.29547718,152,113,2.62694393,,15.08027333,"Compras no site",39.92954772,20,0.06578947,10,3.99889328,"Valor de conversão da compra no site",1596.74,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU 3","[EXCLUSÃO BASE] [ADV. +]",prospecting,inactive,ad,1.19608111,26309,0,,286.39267032,90,49,3.18214078,,10.88572999,,,2,0,,,,,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - JESSICA 2","[AQUISIÇÃO]  [ADV. +]",engaged,inactive,ad,1.55495581,26215,0.36170132,,999.21471303,250,211,3.99685885,,38.11614393,"Compras no site",71.3724795,37,0.056,14,2.37610593,"Valor de conversão da compra no site",2374.24,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD1,"Influ Vitoria - Lm",existing,not_delivering,ad,2.50579225,26173,0.14457647,,268.58,338,129,0.79461538,,10.26172009,"Compras no site",44.76333333,11,0.01775148,6,4.3240003,"Valor de conversão da compra no site",1161.34,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]","ADS 1 — Cópia","[VINAGRE] [RMKT]",existing,inactive,ad,2.08920564,26090,0.19896512,,1571.55272123,920,715,1.70820948,,60.2358268,"Compras no site",56.1268829,85,0.03043478,28,4.77167574,"Valor de conversão da compra no site",7498.94,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - MOFU ate 14-05 — Cópia","[TOFU] [TIK]",prospecting,active,ad,1.21532796,26070,0.24376678,,270.90721196,287,193,0.94392757,,10.39153095,"Compras no site",270.90721196,1,0.00348432,1,0.95198647,"Valor de conversão da compra no site",257.9,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",AD8,"[PUBLICO ABERTO]",engaged,inactive,ad,1.2243233,25963,0.34880407,,908.01810765,886,767,1.02485114,,34.97354341,"Compras no site",69.84754674,121,0.01467269,13,3.02148159,"Valor de conversão da compra no site",2743.56,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE TOFU","[BM JADE]",existing,inactive,ad,2.3720377,25924,0.12683228,,271.7478422,178,113,1.52667327,,10.48248118,"Compras no site",45.29130703,15,0.03370787,6,4.66285211,"Valor de conversão da compra no site",1267.12,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]","AD11 - EVELYN","[VINAGRE] [RMKT]",existing,inactive,ad,1.73989797,25921,0.36318043,,1144.92,871,640,1.31448909,,44.16959222,"Compras no site",63.60666667,73,0.0206659,18,3.79156622,"Valor de conversão da compra no site",4341.04,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - LARI MOFU — Cópia","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,1.17266057,25890,0.37334878,,533.88239647,420,388,1.27114856,,20.62118179,"Compras no site",76.26891378,28,0.01666667,7,2.30378452,"Valor de conversão da compra no site",1229.95,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD2,"Arte - Organica Tons ###",prospecting,inactive,ad,1.86710963,25852,0,,513.67,177,121,2.9020904,,19.86964258,"Compras no site",102.734,18,0.02824859,5,2.04711196,"Valor de conversão da compra no site",1051.54,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - DR URSINHO 18-05 — Cópia","LP NOVA",prospecting,not_delivering,ad,1.12813346,25832,0.25054196,,409.44,515,409,0.79502913,,15.85010839,"Compras no site",68.24,40,0.01165049,6,3.5371483,"Valor de conversão da compra no site",1448.25,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - ANA MOFU","[EXCLUSÃO BASE] [ADV. +]",prospecting,inactive,ad,1.33409079,25832,0.15016259,,647.3943438,350,239,1.84969813,,25.06171972,"Compras no site",107.8990573,25,0.01714286,6,1.83009013,"Valor de conversão da compra no site",1184.79,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]","AD - RMKT PERFIL LARI + DENA",[RMK],engaged,active,ad,3.16973943,25789,0.00019388,,226.69818354,310,120,0.73128446,,8.79049919,"Compras no site",45.33963671,20,0.01612903,5,5.21684815,"Valor de conversão da compra no site",1182.65,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - NIVER — Cópia","Conj - Vm",existing,inactive,ad,2.55488409,25789,0,,893.70979364,287,226,3.11397141,,34.65468974,"Compras no site",42.55760922,59,0.07317073,21,5.33478545,"Valor de conversão da compra no site",4767.75,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JESSICA","Arte Organica - Digestino",existing,not_delivering,ad,2.50427517,25774,0.18817413,,328.84694796,515,364,0.63853776,,12.7588635,"Compras no site",65.76938959,13,0.00970874,5,3.03879968,"Valor de conversão da compra no site",999.3,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]","ADS - LARI 6","[CAMPANHA AQUISIÇÃO]",existing,inactive,ad,3.04695446,25762,0.11435448,,603.44002441,274,180,2.20233586,,23.42364818,"Compras no site",67.0488916,33,0.03284672,9,2.85776536,"Valor de conversão da compra no site",1724.49,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - TOFU","[PUBLICO ENG.] [DR]",existing,inactive,ad,2.41128427,25685,0.20650185,,1493.22390964,376,294,3.97134019,,58.13602919,"Compras no site",53.32942534,106,0.07446809,28,4.50898888,"Valor de conversão da compra no site",6732.93,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - ORGANICO LM 2","[AQUISIÇÃO]  [ADV. +]",existing,inactive,ad,1.55843919,25641,0,,750.17,172,116,4.36145349,,29.25665926,"Compras no site",57.70538462,39,0.0755814,13,3.54298359,"Valor de conversão da compra no site",2657.84,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - ANA MOFU","[BM] [ANA ELISA]",prospecting,inactive,ad,1.76013211,25580,0.10695856,,292.59313963,128,95,2.2858839,,11.43835573,"Compras no site",292.59313963,10,0.0078125,1,0.71269614,"Valor de conversão da compra no site",208.53,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 1","Influ Raiza",prospecting,archived,ad,1.53166076,25519,0.16626827,,591.8765513,173,152,3.42125174,,23.19356367,"Compras no site",98.64609188,27,0.03468208,6,1.61609714,"Valor de conversão da compra no site",956.53,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",tons_dr-ursinho-melasma1-13-10-2025,"[PUBLICO ENG.] [DR]",existing,inactive,ad,1.54026602,25476,0.4015544,,887.20679821,548,363,1.61899051,,34.82520012,"Compras no site",55.45042489,64,0.02919708,16,4.46274759,"Valor de conversão da compra no site",3959.38,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD1,"[TOFU] [TIK TOK] [EXCLUSAÕ BASE] [BID 60] - TESTE ATÉ 20-05",existing,inactive,ad,2.25028794,25399,0.09842907,,257.7441634,221,98,1.16626318,,10.14780753,"Compras no site",42.95736057,16,0.02714932,6,3.54048754,"Valor de conversão da compra no site",912.54,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT DANI — Cópia","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,active,ad,1.60051889,25293,0.03079904,,872.75882302,257,209,3.39594873,,34.50594327,"Compras no site",87.2758823,28,0.03891051,10,2.50615627,"Valor de conversão da compra no site",2187.27,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]","ADS - MORGANA 1 24-12 — Cópia","[CAMPANHA AQUISIÇÃO]",prospecting,inactive,ad,1.46290388,25219,0.35727031,,624.83491524,269,222,2.32280638,,24.77635573,"Compras no site",39.0521822,50,0.05947955,16,5.85903558,"Valor de conversão da compra no site",3660.93,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE JEJOOM TOFU","[BM JADE]",prospecting,inactive,ad,1.59492386,25136,0.13212126,,215.32196454,208,187,1.03520175,,8.56627803,"Compras no site",215.32196454,25,0.00480769,1,0.69147614,"Valor de conversão da compra no site",148.89,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - TOFU","[MI RUBACK]",existing,inactive,ad,2.63461942,25129,0.13987823,,256.20609935,417,246,0.61440312,,10.1956345,"Compras no site",85.40203312,8,0.00719424,3,2.30810274,"Valor de conversão da compra no site",591.35,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - TOFU","[PUBLICO ENG.] [DR]",existing,inactive,ad,1.64043916,25102,0.23595729,,2040.32448179,572,476,3.56700084,,81.28135136,"Compras no site",102.01622409,115,0.03496503,20,2.50961553,"Valor de conversão da compra no site",5120.43,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - SABRINA TOPO","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,1.45253825,25065,0.14641931,,545.34,173,82,3.15225434,,21.75703172,,,5,0,,,,,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","TESTE VIDEO COMENTARIO","[PUBLICO ENG.] [DR]",existing,inactive,ad,2.35338346,25040,0.14177316,,744.72114389,413,282,1.8031989,,29.74125974,"Compras no site",82.74679377,64,0.02179177,9,4.28015241,"Valor de conversão da compra no site",3187.52,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 5","Influ Leka - LM TESTE TRAVA DE CPA",prospecting,archived,ad,1.48109231,24949,0.35271955,,341.24,142,92,2.40309859,,13.6775021,"Compras no site",85.31,21,0.02816901,4,2.87782792,"Valor de conversão da compra no site",982.03,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 1","[BM] [ANA ELISA]",existing,inactive,ad,4.54922566,24675,0.22346505,,441.04015323,854,573,0.51644046,,17.87396771,"Compras no site",63.00573618,24,0.00819672,7,3.13195973,"Valor de conversão da compra no site",1381.32,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",tons3_rmkt_20-10-2025,rmkt_tons_estáticos_visitantes-engajado-compradores_max-conv_cpa35_02-09-2025_7,prospecting,not_delivering,ad,1.56253566,24649,0,,503.94028184,291,229,1.73175355,,20.44465422,"Compras no site",83.99004697,47,0.02061856,6,2.59889921,"Valor de conversão da compra no site",1309.69,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",AD3,"TESTE RACHEL ATE 21-03",engaged,archived,ad,2.07721487,24642,0.14572681,,401.04,511,185,0.78481409,,16.27465303,"Compras no site",133.68,11,0.00587084,3,1.05251346,"Valor de conversão da compra no site",422.1,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE TOFU 19-05 BM JADE + DENA","[BM JADE]",existing,inactive,ad,1.88371023,24573,0.15948399,,383.58639707,193,114,1.98749429,,15.61007598,"Compras no site",95.89659927,12,0.02072539,4,2.24614326,"Valor de conversão da compra no site",861.59,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - MOFU ate 14-05","[TOFU] [TIK TOK] [EXCLUSAÕ BASE] [BID 60] - TESTE ATÉ 20-05",prospecting,inactive,ad,1.20116331,24368,0.29624918,,309.59003847,177,123,1.74909626,,12.70477834,,,3,0,,,,,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS1 - 18-02 — Cópia","Carrossel - Lm",prospecting,inactive,ad,1.3339543,24346,0,,414.42,332,283,1.24825301,,17.02209809,"Compras no site",103.605,35,0.01204819,4,2.14695237,"Valor de conversão da compra no site",889.74,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE TOFU","[BM JADE]",engaged,inactive,ad,2.07051009,24314,0.14053632,,303.95514159,241,192,1.26122465,,12.50123968,"Compras no site",43.42216308,25,0.02904564,7,3.67636485,"Valor de conversão da compra no site",1117.45,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - JADE TOFU","[BM JADE]",existing,inactive,ad,1.98729925,24253,0.25951429,,351.64,231,154,1.52225108,,14.49882489,"Compras no site",175.82,9,0.00865801,2,0.67074281,"Valor de conversão da compra no site",235.86,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - ANA MOFU","[BM] [ANA ELISA]",existing,inactive,ad,2.40931764,24151,0.10322554,,246.50718631,119,45,2.07148896,,10.20691426,"Compras no site",123.25359315,8,0.01680672,2,2.2664248,"Valor de conversão da compra no site",558.69,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - RAIZA 3","LP - TOPO LM",prospecting,archived,ad,1.59682435,24136,0.12404707,,539.27062174,202,176,2.66965654,,22.34299891,"Compras no site",44.93921848,36,0.05940594,12,3.76953596,"Valor de conversão da compra no site",2032.8,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - TOFU","[PUBLICO ENG.] [DR]",engaged,inactive,ad,1.35050562,24039,0.38046508,,668.827059,519,363,1.28868412,,27.82258243,"Compras no site",133.7654118,41,0.00963391,5,1.82896308,"Valor de conversão da compra no site",1223.26,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS. VIDEO INFLU — Cópia","teste aquisição ate dia 15  - Lm",engaged,inactive,ad,1.52218907,23976,0.36724224,,479.067994,473,317,1.01282874,,19.98114756,"Compras no site",59.88349925,22,0.01691332,8,2.82485997,"Valor de conversão da compra no site",1353.3,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",ADS,"Conj. - Q10",prospecting,not_delivering,ad,1.79780929,23963,0.21524851,,229.59099911,121,47,1.89744627,,9.58106243,"Compras no site",229.59099911,2,0.00826446,1,0.7397067,"Valor de conversão da compra no site",169.83,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","tons_dr-ursinho_video-reels_18-08-2026 — Cópia","LP NOVA",prospecting,inactive,ad,1.04879758,23943,0.36549305,,808.96,837,779,0.9664994,,33.78691058,"Compras no site",50.56,57,0.01911589,16,4.19586877,"Valor de conversão da compra no site",3394.29,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - LIS TOFU","Conj - Vm",existing,inactive,ad,1.78649417,23889,0.2508686,,1264.61167243,360,282,3.5128102,,52.93698658,"Compras no site",54.98311619,71,0.06388889,23,3.92026272,"Valor de conversão da compra no site",4957.61,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 1","Influ Raiza 2",prospecting,not_delivering,ad,1.34877415,23876,0.27927626,,601.87,137,124,4.39321168,,25.20815882,"Compras no site",100.31166667,34,0.04379562,6,1.26598767,"Valor de conversão da compra no site",761.96,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - MOFU teste ate 08-05 — Cópia — Cópia","[AQUISIÇÃO]  [ADV. +]",engaged,inactive,ad,1.38438735,23817,0.44380065,,605.92974894,370,258,1.63764797,,25.44106096,"Compras no site",75.74121862,27,0.02162162,8,2.35075106,"Valor de conversão da compra no site",1424.39,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - NIVER 2","[HIBRIDO] [ESTATICO ORG.] [BID 60]",existing,inactive,ad,1.95003277,23806,0.00075611,,241.56,187,122,1.29176471,,10.14702176,"Compras no site",80.52,8,0.01604278,3,2.17755423,"Valor de conversão da compra no site",526.01,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 2 - NOVO VM","Evelyn Regly BM - LM",prospecting,not_delivering,ad,1.60758723,23773,0.18857527,,283.73334209,188,154,1.5092199,,11.93510882,"Compras no site",47.28889035,34,0.03191489,6,3.39593505,"Valor de conversão da compra no site",963.54,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Criativo 1 29/12","Influ Maritza 0",prospecting,archived,ad,1.53175325,23589,0.11869939,,295.64524166,137,81,2.15799446,,12.53318249,"Compras no site",98.54841389,9,0.02189781,3,1.57097066,"Valor de conversão da compra no site",464.45,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS 3","Conj - Vm",engaged,inactive,ad,1.78482163,23565,0.26008912,,808.51836982,734,531,1.10152366,,34.31013664,"Compras no site",269.50612327,31,0.00408719,3,0.9754262,"Valor de conversão da compra no site",788.65,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - TOFU","[PUBLICO ENG.] [DR]",engaged,inactive,ad,2.29913776,23465,0.30253569,,1123.01843436,1606,1088,0.69926428,,47.85929829,"Compras no site",43.19301671,69,0.01618929,26,5.68824144,"Valor de conversão da compra no site",6388,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - MOFU ANA ELISA","[BM] [ANA ELISA]",engaged,not_delivering,ad,2.66091497,23440,0.13596416,,460.57181068,496,278,0.9285722,,19.64896803,"Compras no site",32.89798648,38,0.02822581,14,5.96295721,"Valor de conversão da compra no site",2746.37,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Video 3 Larissa Lemos - 29/12","Influ Larissa Lemos - Lm",engaged,archived,ad,2.97697201,23399,0.18364033,,571.62347257,202,159,2.82981917,,24.42939752,"Compras no site",51.96577023,43,0.05445545,11,5.27089972,"Valor de conversão da compra no site",3012.97,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD2 - VERAO",rmkt_tons_estáticos_visitantes-engajado-compradores_max-conv_cpa35_02-09-2025_7,engaged,inactive,ad,2.12403528,23118,0,,534.05393648,237,189,2.25339214,,23.10121708,"Compras no site",53.40539365,46,0.04219409,10,4.29846097,"Valor de conversão da compra no site",2295.61,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",ADS,"Conj. - Q10",engaged,not_delivering,ad,2.61879392,23103,0,,393.81069464,202,126,1.94955789,,17.04586827,"Compras no site",32.81755789,29,0.05940594,12,6.87954907,"Valor de conversão da compra no site",2709.24,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - SHOOTING TOFU","[PUBLICO ENG.] [DR]",prospecting,inactive,ad,1.41359009,23050,0.23466377,,942.91834809,322,262,2.92831785,,40.90752052,"Compras no site",157.15305801,34,0.01863354,6,1.39090516,"Valor de conversão da compra no site",1311.51,2026-01-01,2026-05-25
