"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","Segmentos de público","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - EVELYN TOFU","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,1.48077056,1373083,0.39050953,,20699.60027558,14886,12349,1.39054147,,15.07527242,"Compras no site",75.27127373,1050,0.01847373,275,2.20224398,"Valor de conversão da compra no site",45585.57,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS - DANI — Cópia","[BOFU] [ADV+ ABERTO] [ESTATICO]",prospecting,not_delivering,ad,2.94190892,1212293,0.01944084,,10144.46023779,6464,4207,1.56937813,,8.36799374,"Compras no site",70.94028138,545,0.02212252,143,2.62159143,"Valor de conversão da compra no site",26594.63,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - RAIZA 3","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,2.57293137,1195528,0.11774714,,23089.89976908,8613,7541,2.68081966,,19.31355833,"Compras no site",68.11179873,1294,0.03935911,339,2.55634847,"Valor de conversão da compra no site",59025.83,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","laranja-moro_mi-ruback_02-07-2025_junto-com-cafe — Cópia","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",prospecting,inactive,ad,2.05813431,1181118,0.09737469,,13197.32420358,5170,4387,2.55267393,,11.17358655,"Compras no site",69.45960107,696,0.03675048,190,2.54266088,"Valor de conversão da compra no site",33556.32,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD1 - 07/12","Influ Larissa L 2",prospecting,archived,ad,1.81038939,1175341,0.27419702,,14479.91998512,14093,11939,1.02745476,,12.31976081,"Compras no site",49.41952213,1910,0.02079046,293,3.52585857,"Valor de conversão da compra no site",51054.15,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","Criativo 1 - Brenda 29/12","Lm Perfil Novo",prospecting,not_delivering,ad,2.87590711,1148876,0.12801207,,13243.6690317,9669,6311,1.36970411,,11.52750082,"Compras no site",57.33190057,872,0.02389078,231,2.7813146,"Valor de conversão da compra no site",36834.81,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","[0 (0,00) | 7 (806,90) | 0 (0,00)] ADS - LM","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,3.28363035,1103881,0,,27545.94853802,6919,5418,3.98120372,,24.9537301,"Compras no site",57.50719945,1475,0.06922966,479,2.94781463,"Valor de conversão da compra no site",81200.35,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD2,"[HIBRIDO] [ESTATICO ORG.] [BID 60]",existing,active,ad,11.17294663,1075195,0.0433819,,12040.80351396,6757,4504,1.78197477,,11.19871606,"Compras no site",39.22085835,1095,0.04543436,307,5.17547271,"Valor de conversão da compra no site",62316.85,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]","AD - ORG TOFU","[VINAGRE] [RMKT]",prospecting,inactive,ad,2.19565526,1052259,0,,26569.45332129,15922,13045,1.66872587,,25.24991786,"Compras no site",103.78692704,1311,0.01607838,256,1.86094232,"Valor de conversão da compra no site",49444.22,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - LARISSA","[AQUISIÇÃO]  [ADV. +]",prospecting,inactive,ad,1.70386776,1041283,0.27757968,,24786.83157278,9433,7809,2.62767217,,23.80412585,"Compras no site",82.34827765,1509,0.03190925,301,2.12318141,"Valor de conversão da compra no site",52626.94,2026-01-01,2026-05-25
