"Nome do conjunto de anúncios","Nome da campanha","Nome do anúncio","Segmentos de público","Veiculação do anúncio",Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Custo por resultado","Valor usado (BRL)",Início,Término,"CPM (custo por 1.000 impressões)","Cliques no link","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Início dos relatórios","Encerramento dos relatórios"
"[EXCLUSÃO BASE] [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU ANA ELISA 22K",prospecting,active,477077,1478552,3.09918944,"Compras no site",314,77.89092421,24457.75020194,2026-03-17,Contínuo,16.54169093,13337,1.83382696,0.90203118,2026-01-01,2026-05-25
"[BM JADE]","[C] [LM - TESTE] [ABO]","AD - JADE TOFU",prospecting,inactive,787270,1413249,1.7951262,"Compras no site",398,59.19778948,23560.72021149,2026-04-17,Contínuo,16.67131568,14760,1.59625476,1.04440194,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - LUCIANA TOFU",prospecting,active,456603,719213,1.57513858,"Compras no site",322,72.68216459,23403.65699783,2025-10-13,Contínuo,32.5406479,15173,1.54245416,2.10966709,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","ADS - RAIZA 3",prospecting,inactive,539343,1025222,1.90087199,"Compras no site",276,84.35475489,23281.9123504,2025-12-10,Contínuo,22.70914236,10344,2.25076492,1.00895221,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - RAIZA 3",prospecting,inactive,464656,1195528,2.57293137,"Compras no site",339,68.11179873,23089.89976908,2026-01-23,Contínuo,19.31355833,8613,2.68081966,0.72043482,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","Video-Rmkt-DaniWinits — Cópia",prospecting,inactive,629064,1439359,2.28809628,"Compras no site",344,66.05029864,22721.30273301,2025-12-10,Contínuo,15.78570929,8349,2.72144002,0.58004987,2026-01-01,2026-05-25
"[TOFU] [TIK + ORG ] [ABERTO]","[C] [LM - TESTE] [ABO]",AD1,prospecting,inactive,717656,1957456,2.72756864,"Compras no site",383,58.04815581,22232.44367629,2026-02-11,Contínuo,11.3578255,13561,1.63943984,0.69278696,2026-01-01,2026-05-25
adv-engajado-laranja-mouro-sudeste-sul-centro,"[C][LM - COST CAP WINNERS] [ [CBO]","[1] — Cópia",prospecting,not_delivering,614895,1167520,1.89873068,"Compras no site",275,77.87961592,21416.89437887,2025-08-27,Contínuo,18.34392077,8180,2.61820225,0.7006304,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - BOFU",prospecting,active,270040,974056,3.60708043,"Compras no site",381,55.64447033,21200.54319411,2025-10-13,Contínuo,21.76522006,5666,3.74171253,0.5816914,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","CRIATIVO 2 RMKT — Cópia",prospecting,inactive,438032,1493632,3.4098696,"Compras no site",330,63.9157533,21092.19858967,2025-12-10,Contínuo,14.12141584,6875,3.06795616,0.46028741,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT DANI",existing,active,73280,474019,6.46859989,"Compras no site",408,51.11973561,20856.85212928,2025-10-13,Contínuo,44.00003403,7654,2.72496108,1.61470321,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - BOFU",prospecting,active,204059,776574,3.80563464,"Compras no site",330,63.05615925,20808.53255306,2025-06-20,Contínuo,26.79529904,9272,2.24423345,1.1939622,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - EVELYN TOFU",prospecting,inactive,927276,1373083,1.48077056,"Compras no site",275,75.27127373,20699.60027558,2026-01-23,Contínuo,15.07527242,14886,1.39054147,1.08412966,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - ORGANICO LM 2",prospecting,inactive,397165,936458,2.35785631,"Compras no site",315,64.42611163,20294.2251638,2026-01-23,Contínuo,21.67126039,5830,3.48099917,0.62255862,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","Rmkt Dani 2 — Cópia",engaged,not_delivering,100035,972027,9.7168691,"Compras no site",410,47.49208733,19471.75580469,2025-12-10,Contínuo,20.03211413,8862,2.19721912,0.91170307,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT DANI",engaged,active,129929,528794,4.06986893,"Compras no site",372,51.46039031,19143.26519348,2025-10-13,Contínuo,36.20174433,8717,2.19608411,1.64846802,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","ADS - ORGANICO LM",prospecting,inactive,701079,1463909,2.08807995,"Compras no site",209,91.34008405,19090.07756714,2025-12-10,Contínuo,13.04048105,8053,2.37055477,0.5501025,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - MES CONSUMIDOR",prospecting,inactive,202969,722146,3.55791278,"Compras no site",313,58.62092859,18348.35064895,2026-01-23,Contínuo,25.40809012,5999,3.0585682,0.83071844,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","laranja-moro_mi-ruback_02-07-2025_junto-com-cafe — Cópia",engaged,inactive,179440,892763,4.97527307,"Compras no site",290,63.25932095,18345.20307681,2025-10-13,Contínuo,20.54879411,7829,2.34323708,0.87694046,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU",existing,inactive,79584,554827,6.97158977,"Compras no site",399,44.14874626,17615.34975889,2026-01-23,Contínuo,31.74926555,6326,2.78459528,1.14017523,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT",existing,inactive,80758,538793,6.67169816,"Compras no site",273,62.63867214,17100.35749432,2025-10-13,Contínuo,31.7382696,5757,2.97035913,1.06849941,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - EVELYN",prospecting,not_delivering,176927,587682,3.32160722,"Compras no site",315,53.21133741,16761.5712843,2025-10-13,Contínuo,28.5214985,4852,3.45456951,0.82561657,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - DANI TOFU",prospecting,inactive,405601,850368,2.09656288,"Compras no site",234,70.55197966,16509.16324075,2026-01-23,Contínuo,19.41413981,6788,2.43211008,0.79824264,2026-01-01,2026-05-25
"[VINAGRE] [RMKT]","[C] [VARIOS PRODUTO] [ABO] [BID]",AD7,prospecting,inactive,274962,811105,2.94988035,"Compras no site",211,76.64132431,16171.31943032,2026-01-20,Contínuo,19.93739335,7898,2.04752082,0.97373336,2026-01-01,2026-05-25
adv-engajado-laranja-mouro-sudeste-sul-centro,"[C][LM - COST CAP WINNERS] [ [CBO]","Video 3 Larissa Lemos - 13-10-2025 — Cópia",prospecting,not_delivering,496614,849163,1.70990548,"Compras no site",266,59.91053056,15936.20112929,2025-08-27,Contínuo,18.76695184,7877,2.02313078,0.92761931,2026-01-01,2026-05-25
"[ADV ABER.]","[C] [LM - PRINCIPAL] - [PLANO B] 2 TESTE","[ADS] - [RMKT] [25-02]",prospecting,not_delivering,772296,1992194,2.57957312,"Compras no site",190,83.26050448,15819.49585097,2026-02-25,Contínuo,7.94074064,7648,2.06844873,0.38389836,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [TONS] [PB DR]","Novo anúncio de Vendas",prospecting,inactive,618958,827597,1.33708103,"Compras no site",153,102.63139975,15702.60416175,2025-12-10,Contínuo,18.97373258,20752,0.75667907,2.50750063,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - LUCIANA MOFU",engaged,inactive,102715,457028,4.44947671,"Compras no site",323,48.53977365,15678.3468876,2025-10-13,Contínuo,34.30500295,7979,1.96495136,1.74584489,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT",engaged,inactive,117718,485272,4.12232624,"Compras no site",251,61.4449416,15422.68034222,2025-10-13,Contínuo,31.78151705,4309,3.57917854,0.88795562,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [LM - PRINCIPAL] [PLANO B] 1 TESTE","Rmkt Dani 2 — Cópia",existing,not_delivering,45318,566590,12.50253762,"Compras no site",315,46.39538711,14614.54693937,2025-12-10,Contínuo,25.79386671,4265,3.42662296,0.7527489,2026-01-01,2026-05-25
"Influ Larissa L 2","[C] [LM - TESTE] [ABO]","AD1 - 07/12",prospecting,archived,649220,1175341,1.81038939,"Compras no site",293,49.41952213,14479.91998512,2026-01-07,Contínuo,12.31976081,14093,1.02745476,1.19905627,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - TOFU",engaged,inactive,112164,427253,3.8091812,"Compras no site",237,60.86670601,14425.40932466,2026-01-23,Contínuo,33.76315514,5475,2.63477796,1.28144214,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - BOFU",existing,active,78293,500744,6.39576974,"Compras no site",304,47.32121166,14385.64834312,2025-10-13,Contínuo,28.72854861,3478,4.13618411,0.69456649,2026-01-01,2026-05-25
"[HIBRIDO] [ESTATICO ORG.] [BID 60]","[C] [LM - TESTE] [ABO]","AD - BOFU 1 — Cópia",prospecting,active,849050,2249932,2.64994052,"Compras no site",160,89.66897834,14347.03653444,2026-03-20,Contínuo,6.3766534,6435,2.22953171,0.28600864,2026-01-01,2026-05-25
"[PUBLICO ABERTO]","[C] [TONS] [PB DR]","AD7 - BOFU",prospecting,not_delivering,396518,972310,2.45212071,"Compras no site",161,88.89870841,14312.69205372,2025-12-10,Contínuo,14.72029708,7534,1.89974676,0.77485576,2026-01-01,2026-05-25
"Influ Isadora N. - Lm","[C] [LM - TESTE] [ABO]","ADS 2",prospecting,archived,322923,626648,1.9405493,"Compras no site",241,58.38920868,14071.79929156,2026-01-23,Contínuo,22.45566776,6713,2.09620129,1.07125531,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT",existing,active,63723,421938,6.62143967,"Compras no site",244,56.96419316,13899.26313144,2025-10-13,Contínuo,32.94148224,4026,3.45237534,0.95416862,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT",prospecting,inactive,161371,589200,3.65121366,"Compras no site",160,85.5338316,13685.41305626,2025-10-13,Contínuo,23.22710974,5088,2.68974313,0.86354379,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - RMKT",prospecting,active,165027,546595,3.31215498,"Compras no site",190,71.63834047,13611.2846886,2025-10-13,Contínuo,24.90195609,4563,2.98296837,0.83480456,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - SHOOTING BOFU",prospecting,active,96486,331202,3.43264308,"Compras no site",180,75.04783493,13508.61028738,2025-06-20,Contínuo,40.78662051,6185,2.1840922,1.86744041,2026-01-01,2026-05-25
"[EXCLUSÃO BASE] [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - LUCIANA  TOFU",prospecting,inactive,438814,796369,1.81482131,"Compras no site",220,61.08716833,13439.17703266,2026-03-17,Contínuo,16.87556526,13642,0.98513246,1.71302499,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - MOFU",engaged,active,112435,366315,3.25801574,"Compras no site",225,59.57283365,13403.8875702,2025-06-20,Contínuo,36.59115125,9084,1.47554905,2.47983293,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","AD - EVELYN",prospecting,inactive,206489,465471,2.25421693,"Compras no site",230,57.83826207,13302.80027571,2025-10-13,Contínuo,28.57922465,4298,3.09511407,0.9233658,2026-01-01,2026-05-25
"Lm Perfil Novo","[C] [LM - TESTE] [ABO]","Criativo 1 - Brenda 29/12",prospecting,not_delivering,399483,1148876,2.87590711,"Compras no site",231,57.33190057,13243.6690317,2025-11-03,Contínuo,11.52750082,9669,1.36970411,0.84160519,2026-01-01,2026-05-25
"[PUBLICO ENG.] [DR]","[C] [TONS] [PB DR]","AD - BOFU",existing,active,51919,403398,7.76975674,"Compras no site",359,36.880064,13239.9429764,2025-06-20,Contínuo,32.82104268,4642,2.85220659,1.15072459,2026-01-01,2026-05-25
"[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]","[C] [LM - RMKT] [ADV. ABO]","laranja-moro_mi-ruback_02-07-2025_junto-com-cafe — Cópia",prospecting,inactive,573878,1181118,2.05813431,"Compras no site",190,69.45960107,13197.32420358,2025-10-13,Contínuo,11.17358655,5170,2.55267393,0.43772087,2026-01-01,2026-05-25
"[EXCLUSÃO BASE] [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU ANA ELISA 22K",existing,active,70957,589684,8.31044154,"Compras no site",230,57.35708786,13192.13020804,2026-03-17,Contínuo,22.37152476,13496,0.97748446,2.28868343,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - JESSICA",existing,inactive,56875,254630,4.47701099,"Compras no site",252,50.80872189,12803.79791663,2026-01-23,Contínuo,50.28393322,5072,2.52440811,1.99190983,2026-01-01,2026-05-25
"[EXCLUSÃO BASE] [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU ANA ELISA 22K",engaged,active,77932,499457,6.4088821,"Compras no site",223,56.71524938,12647.50061236,2026-03-17,Contínuo,25.32250146,15216,0.83119746,3.04650851,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","ADS - ORGANICO LM 2",prospecting,inactive,483940,961118,1.98602719,"Compras no site",163,77.01171694,12552.90986132,2026-01-23,Contínuo,13.06073746,5841,2.14910287,0.60772975,2026-01-01,2026-05-25
"[AQUISIÇÃO]  [ADV. +]","[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU",engaged,inactive,89706,420353,4.68589615,"Compras no site",250,49.06846303,12267.11575793,2026-01-23,Contínuo,29.18289095,6330,1.93793298,1.5058772,2026-01-01,2026-05-25
"[TOFU] [TIK + ORG ] [ABERTO]","[C] [LM - TESTE] [ABO]",AD3,engaged,inactive,91867,540403,5.88244963,"Compras no site",290,41.83702796,12132.73810703,2026-02-11,Contínuo,22.45127823,5189,2.33816498,0.96020933,2026-01-01,2026-05-25
"[HIBRIDO] [ESTATICO ORG.] [BID 60]","[C] [LM - TESTE] [ABO]",AD2,existing,active,96189,1074856,11.17441703,"Compras no site",307,39.20941533,12037.29050494,2026-03-20,Contínuo,11.19897968,6756,1.78171855,0.62854931,2026-01-01,2026-05-25
