"Nome da campanha","Segmentos de público","Nome do anúncio","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",existing,"ADS - LARISSA MES CLIENTE",active,ad,2.82010229,76092,0.20615833,,2156.50377342,999,713,2.15866244,,28.34074244,"Compras no site",41.47122641,154,0.05205205,52,4.55918516,"Valor de conversão da compra no site",9831.9,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",existing,"ADS - LARISSA",inactive,ad,1.80408183,75932,0.22786177,,2852.82759606,804,591,3.54829303,,37.57082121,"Compras no site",71.3206899,147,0.04975124,40,2.91564061,"Valor de conversão da compra no site",8317.82,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"ADS - 4",inactive,ad,2.34096117,75599,0.28046667,,2296.11485513,1151,952,1.99488693,,30.37229137,"Compras no site",74.06822113,110,0.0269331,31,2.55108319,"Valor de conversão da compra no site",5857.58,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"AD - ALESSANDRA",inactive,ad,4.57379536,75367,0.11995966,,634.69992444,949,449,0.66880919,,8.42145666,"Compras no site",57.69999313,28,0.01159115,11,4.348165,"Valor de conversão da compra no site",2759.78,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",prospecting,"ADS 1 — Cópia",inactive,ad,1.49180133,75239,0.23354909,,4818.6943018,1749,1533,2.75511395,,64.04516676,"Compras no site",89.23507966,249,0.03087479,54,2.23901939,"Valor de conversão da compra no site",10789.15,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD5,inactive,ad,1.3698974,74769,0,,1046.67729036,689,588,1.51912524,,13.99881355,"Compras no site",209.33545807,76,0.00725689,5,0.90791117,"Valor de conversão da compra no site",950.29,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"ADS - ART 2",not_delivering,ad,4.13414296,74551,0,,1545.77334297,394,306,3.9232826,,20.73444143,"Compras no site",55.20619082,81,0.07106599,28,3.3525355,"Valor de conversão da compra no site",5182.26,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"ADS 6",not_delivering,ad,2.26658128,74328,0.19672263,,1542.47397576,534,412,2.88852804,,20.75225993,"Compras no site",44.07068502,115,0.06554307,35,4.01716988,"Valor de conversão da compra no site",6196.38,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",existing,"ADS - DANI",inactive,ad,2.63770644,74109,0,,1831.81224859,556,415,3.29462635,,24.71781091,"Compras no site",65.42186602,114,0.05035971,28,3.23180501,"Valor de conversão da compra no site",5920.06,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"ADS 4",not_delivering,ad,2.22583668,73624,0.17008041,,1512.80977173,393,331,3.84938873,,20.54778023,"Compras no site",68.76408053,84,0.05597964,22,2.73230652,"Valor de conversão da compra no site",4133.46,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"Teste - ADS 2",not_delivering,ad,3.73326546,73340,0.07413417,,1142.48223674,465,322,2.45695105,,15.57788706,"Compras no site",57.12411184,96,0.04301075,20,3.36143519,"Valor de conversão da compra no site",3840.38,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"tons_dr-ursinho-bruna2-06-11-2025 — Cópia",inactive,ad,1.1830995,73196,0.4542598,,2297.06647328,1356,1147,1.69400182,,31.38240441,"Compras no site",82.03808833,172,0.02064897,28,2.76550551,"Valor de conversão da compra no site",6352.55,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD6,inactive,ad,1.47233425,73016,0,,891.07727945,589,475,1.51286465,,12.20386326,"Compras no site",89.10772794,66,0.01697793,10,2.57366005,"Valor de conversão da compra no site",2293.33,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",engaged,"ADSS - ORGANICO 2",inactive,ad,2.42215877,72953,0,,2406.42325925,578,426,4.16336204,,32.9859397,"Compras no site",58.69325023,131,0.07093426,41,3.08367199,"Valor de conversão da compra no site",7420.62,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD - TOFU/MOFU",inactive,ad,1.54719287,72175,0.12077589,,682.25,319,225,2.13871473,,9.45271909,"Compras no site",62.02272727,43,0.03448276,11,2.28860388,"Valor de conversão da compra no site",1561.4,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - MOFU ANA ELISA",not_delivering,ad,1.72420249,70913,0.14406385,,978.8533369,469,367,2.08710733,,13.80358096,"Compras no site",122.35666711,49,0.01705757,8,2.68512136,"Valor de conversão da compra no site",2628.34,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - RAIZA TOFU — Cópia",inactive,ad,1.73230338,70529,0.19219045,,2557.422923,1054,891,2.42639746,,36.26058675,"Compras no site",150.43664253,114,0.01612903,17,1.53857227,"Valor de conversão da compra no site",3934.78,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD -  EVELYN",active,ad,1.13184392,70369,0.24084469,,918.62234835,568,407,1.61729287,,13.05436127,"Compras no site",102.06914982,32,0.01584507,9,1.14566122,"Valor de conversão da compra no site",1052.43,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]",prospecting,"ADS - LARI 1 24-12",inactive,ad,1.72597102,70033,0.16844916,,1878.04441054,665,567,2.82412693,,26.81656377,"Compras no site",78.25185044,151,0.03609023,24,2.72890778,"Valor de conversão da compra no site",5125.01,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"AD - LARI MOFU",not_delivering,ad,2.49458033,69963,0.24391464,,913.72205882,818,660,1.11701963,,13.06007545,"Compras no site",53.7483564,64,0.0207824,17,3.6814149,"Valor de conversão da compra no site",3363.79,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"AD - LUCIANA MOFU 2",inactive,ad,2.3646661,69935,0.30860084,,1819.23998065,2426,1898,0.74989282,,26.01329779,"Compras no site",53.50705825,147,0.01401484,34,3.44082148,"Valor de conversão da compra no site",6259.68,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS - MES CONSUMIDOR — Cópia",inactive,ad,1.37211497,69794,0.00207754,,392.8862995,180,115,2.18270166,,5.62922743,"Compras no site",130.96209983,15,0.01666667,3,1.25927018,"Valor de conversão da compra no site",494.75,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 3",archived,ad,1.28509727,69624,0.26163392,,916.58,519,424,1.7660501,,13.16471332,"Compras no site",114.5725,73,0.01541426,8,1.10048223,"Valor de conversão da compra no site",1008.68,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - DANI TOFU 3",not_delivering,ad,1.19683834,69577,0.15046639,,444.97128345,301,131,1.47830991,,6.39537898,,,1,0,,,,,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]",existing,"AD - MORGANA TOFU",active,ad,2.84108623,69260,0.30486572,,1096.97770598,2466,1698,0.44484092,,15.83854614,"Compras no site",57.73566874,73,0.00770479,19,3.43914008,"Valor de conversão da compra no site",3772.66,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - NIVER 2",inactive,ad,1.45102242,69044,0.00331673,,432.12,249,167,1.73542169,,6.25861769,"Compras no site",216.06,14,0.00803213,2,0.81789781,"Valor de conversão da compra no site",353.43,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD3,inactive,ad,1.63205962,68979,0.06590412,,380.77248637,183,120,2.08072397,,5.52012187,"Compras no site",76.15449727,18,0.0273224,5,2.11843037,"Valor de conversão da compra no site",806.64,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"AD - JADE TOFU LP LM1",active,ad,2.75038107,68567,0.16171044,,1556.30274502,674,595,2.30905452,,22.69754758,"Compras no site",42.06223635,95,0.05489614,37,4.08016372,"Valor de conversão da compra no site",6349.97,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",existing,"AD - MOFU teste ate 08-05 — Cópia — Cópia — Cópia",not_delivering,ad,1.75054911,68541,0.38289491,,1615.67349814,599,424,2.69728464,,23.57236542,"Compras no site",107.71156654,70,0.02504174,15,2.09060804,"Valor de conversão da compra no site",3377.74,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"Rmkt Dani 2 — Cópia",archived,ad,1.73670023,68294,0,,1647.46496182,627,519,2.62753582,,24.12312885,"Compras no site",43.3543411,193,0.06060606,38,5.04841086,"Valor de conversão da compra no site",8317.08,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"ADS 2",archived,ad,2.47911976,68270,0.22244031,,2113.2023504,789,521,2.67832998,,30.95360115,"Compras no site",60.37721001,124,0.04435995,35,3.21698488,"Valor de conversão da compra no site",6798.14,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - JADE TOFU",inactive,ad,1.48484848,67914,0.27151986,,916.18,409,380,2.2400489,,13.49029655,"Compras no site",83.28909091,28,0.02689487,11,2.09227444,"Valor de conversão da compra no site",1916.9,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 3",not_delivering,ad,1.34293131,67767,0.29574867,,1735.32,718,545,2.41688022,,25.60715392,"Compras no site",96.40666667,79,0.02506964,18,2.23514395,"Valor de conversão da compra no site",3878.69,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"tons 3 - 25-11 — Cópia",active,ad,1.20224639,67541,0.48191469,,2130.83800879,1532,1322,1.39088643,,31.54880752,"Compras no site",68.73670996,189,0.02023499,31,3.0334779,"Valor de conversão da compra no site",6463.85,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",prospecting,"AD11 - EVELYN",inactive,ad,1.35699416,66490,0.39881185,,2411.23,975,824,2.47305641,,36.26455106,"Compras no site",109.60136364,127,0.0225641,22,2.07794362,"Valor de conversão da compra no site",5010.4,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - SHOOTING TOFU 2",inactive,ad,1.46581876,66384,0.23079356,,1922.30232903,1448,1160,1.32755686,,28.95731395,"Compras no site",240.28779113,99,0.00552486,8,0.71731693,"Valor de conversão da compra no site",1378.9,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - TOFU",inactive,ad,1.81383954,66265,0.23339621,,2752.44615858,1002,830,2.74695225,,41.53695252,"Compras no site",88.78858576,136,0.03093812,31,2.24740454,"Valor de conversão da compra no site",6185.86,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 4",not_delivering,ad,1.22970046,65848,0.20116025,,1199.13003995,657,584,1.82515988,,18.21057648,"Compras no site",29.24707415,142,0.06240487,41,6.55974727,"Valor de conversão da compra no site",7865.99,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"AD - MOFU ANA ELISA",not_delivering,ad,1.98135029,65444,0.19036122,,1638.64558613,901,711,1.81869654,,25.03889717,"Compras no site",74.48389028,150,0.02441731,22,2.40142227,"Valor de conversão da compra no site",3935.08,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]",engaged,"AD - LARISSA TOFU",active,ad,2.77576892,65250,0.18527203,,1358.96277964,1289,798,1.05427679,,20.82701578,"Compras no site",84.93517373,166,0.01241272,16,2.16259786,"Valor de conversão da compra no site",2938.89,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD6,inactive,ad,1.35883363,64868,0.11790097,,434.72809283,170,125,2.55722408,,6.70173418,"Compras no site",108.68202321,7,0.02352941,4,1.58874021,"Valor de conversão da compra no site",690.67,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",existing,"AD - MOFU ANA ELISA — Cópia",active,ad,2.29204417,64764,0.28403125,,3580.14461302,1736,1411,2.06229528,,55.27985629,"Compras no site",55.93975958,271,0.03686636,64,4.23706628,"Valor de conversão da compra no site",15169.31,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD1,inactive,ad,1.73349436,64590,0.07889766,,482.29907837,195,138,2.47332861,,7.4670859,"Compras no site",96.45981567,19,0.02564103,5,1.56790679,"Valor de conversão da compra no site",756.2,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - MOFU teste ate 08-05",inactive,ad,1.34157496,64244,0.33584459,,594.10312269,334,224,1.77875186,,9.2476048,"Compras no site",118.82062454,22,0.01497006,5,1.59127257,"Valor de conversão da compra no site",945.38,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - 5",not_delivering,ad,1.48318191,64158,0.14885127,,442.68062474,360,246,1.2296684,,6.89985076,"Compras no site",221.34031237,13,0.00555556,2,1.19119738,"Valor de conversão da compra no site",527.32,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",existing,"AD- NIVER 3",inactive,ad,3.82065347,64080,7.803E-5,,2782.43672656,1116,884,2.49322287,,43.42129723,"Compras no site",43.47557385,178,0.05734767,64,5.50365795,"Valor de conversão da compra no site",15313.58,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",engaged,"ADS 3 — Cópia",not_delivering,ad,1.70198446,63981,0.34303934,,1761.10439034,1182,788,1.48993603,,27.52542771,"Compras no site",83.86211383,76,0.0177665,21,2.01228276,"Valor de conversão da compra no site",3543.84,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"ADS 3",not_delivering,ad,1.99749279,63736,0.30681248,,1431.60546389,781,599,1.83304157,,22.46148902,"Compras no site",68.17168876,93,0.0268886,21,2.67677101,"Valor de conversão da compra no site",3832.08,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"ADS - LARISSA MES CLIENTE",active,ad,2.60722468,63731,0.22809936,,1677.21737451,1093,778,1.53450812,,26.31713569,"Compras no site",50.82476892,110,0.03019213,33,3.03650563,"Valor de conversão da compra no site",5092.88,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",existing,"ADS 4",inactive,ad,3.24756663,63727,0.14816326,,853.82612035,2312,1564,0.36930196,,13.39818476,"Compras no site",42.69130602,49,0.00865052,20,5.05991782,"Valor de conversão da compra no site",4320.29,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]",engaged,"ADS - LARISSA 1 24-12",archived,ad,3.46254355,63600,0.17685535,,1404.7527774,991,683,1.41751037,,22.08730782,"Compras no site",54.02895298,151,0.02623613,26,3.87324381,"Valor de conversão da compra no site",5440.95,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",engaged,"AD -  ANA ELISA TOFU",not_delivering,ad,2.26477727,63450,0.26805359,,1572.42765587,721,520,2.18089827,,24.78215376,"Compras no site",46.24787223,107,0.04715673,34,3.81408962,"Valor de conversão da compra no site",5997.38,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"ADS - ART 1",not_delivering,ad,4.73103603,63429,0.00728373,,837.43,263,215,3.18414449,,13.20263602,"Compras no site",59.81642857,56,0.05323194,14,3.8963376,"Valor de conversão da compra no site",3262.91,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",engaged,"AD2 - MOFU",not_delivering,ad,3.08137951,63347,0.24039023,,2385.50749827,2877,1678,0.82916493,,37.65778171,"Compras no site",62.77651311,181,0.0132082,38,3.37031848,"Valor de conversão da compra no site",8039.92,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"ADS - ANA ELISA 2",inactive,ad,2.54567404,63260,0.13452419,,1444.87245004,520,465,2.77860087,,22.8402221,"Compras no site",45.15226406,106,0.06153846,32,4.12592821,"Valor de conversão da compra no site",5961.44,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",existing,"AD1 - VERAO",not_delivering,ad,4.11856076,62841,0,,2041.27798388,557,366,3.66477196,,32.4832193,"Compras no site",45.36173298,187,0.08078995,45,5.31479793,"Valor de conversão da compra no site",10848.98,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"AD - BOFU — Cópia",inactive,ad,2.44738387,62538,0.08206211,,812.31893536,872,655,0.93155841,,12.98920553,"Compras no site",33.84662231,56,0.02752294,24,5.38303345,"Valor de conversão da compra no site",4372.74,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",engaged,"TESTE VIDEO COMENTARIO",inactive,ad,2.37498572,62360,0.14074727,,1490.96220849,943,802,1.581084,,23.90895139,"Compras no site",70.9982004,170,0.02226935,21,2.83895861,"Valor de conversão da compra no site",4232.78,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",existing,AD8,inactive,ad,2.9855679,62061,0,,1604.10576793,675,546,2.37645299,,25.84724332,"Compras no site",53.47019226,138,0.04444444,30,4.89298783,"Valor de conversão da compra no site",7848.87,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,AD10,not_delivering,ad,1.2289171,61860,0.19238603,,1364.29580832,438,313,3.11483061,,22.05457175,"Compras no site",64.96646706,76,0.04794521,21,3.56388253,"Valor de conversão da compra no site",4862.19,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",existing,"[VERÃO 3] [BOFU]",not_delivering,ad,4.48393195,61672,0,,2376.0868129,760,568,3.12643002,,38.52780537,"Compras no site",55.25783286,176,0.05657895,43,3.65152062,"Valor de conversão da compra no site",8676.33,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",existing,"ADS - DR 2 — Cópia",inactive,ad,3.44030938,61382,0.13912873,,1824.80500595,755,550,2.41696027,,29.72866648,"Compras no site",96.04236873,120,0.02516556,19,2.30418592,"Valor de conversão da compra no site",4204.69,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",engaged,"AD - JADE TOFU — Cópia",not_delivering,ad,2.29105123,60958,0.17979593,,1319.84492918,1294,1001,1.0199729,,21.65170985,"Compras no site",62.84975853,64,0.01622875,21,2.68547457,"Valor de conversão da compra no site",3544.41,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,AD3,inactive,ad,2.08252709,60916,0.00021341,,1208.56143354,381,294,3.17207725,,19.8398029,"Compras no site",109.86922123,68,0.02887139,11,2.12786039,"Valor de conversão da compra no site",2571.65,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"AD - MOFU",active,ad,2.2950245,60887,0.13511916,,1556.75520513,1170,811,1.33056,,25.5679407,"Compras no site",47.17440016,93,0.02820513,33,3.79360864,"Valor de conversão da compra no site",5905.72,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",engaged,"AD - MOFU teste ate 08-05 — Cópia — Cópia — Cópia",not_delivering,ad,2.02602243,60884,0.37338217,,1146.35667246,509,321,2.25217421,,18.82853742,"Compras no site",67.43274544,57,0.03339882,17,2.77362192,"Valor de conversão da compra no site",3179.56,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"AD - PROMO — Cópia",inactive,ad,3.17054304,60662,0.15916059,,2036.99616253,989,705,2.05965234,,33.57944286,"Compras no site",56.58322674,175,0.0364004,36,4.59044556,"Valor de conversão da compra no site",9350.72,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",engaged,"AD3 - MOFU",inactive,ad,2.50712239,60369,0.22335967,,2046.89556808,1493,1026,1.37099502,,33.90640176,"Compras no site",70.5826058,157,0.01942398,29,3.20831219,"Valor de conversão da compra no site",6567.08,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"ADS 3",inactive,ad,1.65389993,60326,0.2110367,,1804.33172897,764,598,2.36169074,,29.90968619,"Compras no site",100.24065161,79,0.02356021,18,2.36169432,"Valor de conversão da compra no site",4261.28,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",existing,"AD- MOFU",inactive,ad,1.94978251,60065,0.15541497,,1358.12812896,883,608,1.53808395,,22.61097359,"Compras no site",90.54187526,89,0.01698754,15,1.89647791,"Valor de conversão da compra no site",2575.66,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",engaged,"AD - DR URSINHO 18-05",active,ad,1.79349224,59969,0.33342227,,2500.15035646,2151,1727,1.16232002,,41.69071281,"Compras no site",83.33834522,256,0.013947,30,2.77437314,"Valor de conversão da compra no site",6936.35,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD 2 DUDA",active,ad,1.19845475,59719,0.09420787,,630.84526219,286,178,2.20575267,,10.56356038,"Compras no site",105.14087703,21,0.02097902,6,1.95128675,"Valor de conversão da compra no site",1230.96,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",existing,"ADS - ANA ELISA 2",inactive,ad,3.36929201,59249,0.10398488,,1238.2549597,469,345,2.64020247,,20.89917061,"Compras no site",41.27516532,82,0.06396588,30,5.91825613,"Valor de conversão da compra no site",7328.31,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD- NIVER",inactive,ad,1.44094277,59119,0.00576803,,863.92603039,443,343,1.95017163,,14.61333971,"Compras no site",215.9815076,47,0.00902935,4,1.31511259,"Valor de conversão da compra no site",1136.16,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",existing,"ADSS - ORGANICO 2",inactive,ad,2.6464778,58945,0,,2157.81118748,418,291,5.16222772,,36.60719633,"Compras no site",77.06468527,102,0.06698565,28,2.26941079,"Valor de conversão da compra no site",4896.96,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"ADS - DR 2",inactive,ad,1.58748245,58794,0.19331905,,1609.36270536,806,650,1.99672792,,27.37290719,"Compras no site",67.05677939,141,0.02977667,24,3.48169495,"Valor de conversão da compra no site",5603.31,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]",engaged,"AD2 - ORGANICO",inactive,ad,2.13885341,58611,0,,1437.04898569,1061,883,1.35442883,,24.5184178,"Compras no site",68.43090408,136,0.01979265,21,3.06523302,"Valor de conversão da compra no site",4404.89,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,ADS,not_delivering,ad,3.43617211,57738,0.24172988,,844.48689273,882,302,0.95746813,,14.62618887,"Compras no site",56.29912618,49,0.0170068,15,5.20480547,"Valor de conversão da compra no site",4395.39,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - JADE TOFU",inactive,ad,1.63793495,57711,0.12626709,,626.21759021,307,281,2.03979671,,10.85092253,"Compras no site",62.62175902,29,0.03257329,10,2.70153702,"Valor de conversão da compra no site",1691.75,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"[ADS] - [TOPO 2] [27-02]",inactive,ad,1.5261431,57676,0.2797004,,1281.29265685,429,373,2.98669617,,22.21535226,"Compras no site",128.12926568,55,0.02331002,10,1.58948854,"Valor de conversão da compra no site",2036.6,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",engaged,"AD - FERNANDA",inactive,ad,3.31956559,57465,0.19030714,,613.95355206,1632,921,0.37619703,,10.68395636,"Compras no site",55.81395928,39,0.0067402,11,3.60976819,"Valor de conversão da compra no site",2216.23,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,"AD - ORG 2 TOFU",inactive,ad,1.96993204,57392,0,,1378.87009635,547,435,2.52078628,,24.02547561,"Compras no site",81.11000567,87,0.03107861,17,2.85423552,"Valor de conversão da compra no site",3935.62,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD - MOFU teste ate 08-05",inactive,ad,1.18567798,57388,0.37014707,,1084.72551815,546,399,1.98667677,,18.90160867,"Compras no site",120.52505757,52,0.01648352,9,1.53884091,"Valor de conversão da compra no site",1669.22,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",engaged,"AD - TOFU",inactive,ad,2.2372663,57321,0.35147677,,1866.20288472,1231,933,1.51600559,,32.55705387,"Compras no site",62.20676282,121,0.02437043,30,3.24431499,"Valor de conversão da compra no site",6054.55,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",prospecting,"AD - BOFU",not_delivering,ad,1.50545177,57299,0,,347.11,190,142,1.82689474,,6.05787187,"Compras no site",173.555,18,0.01052632,2,0.79631817,"Valor de conversão da compra no site",276.41,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",existing,"AD - RAIZA MOFU",inactive,ad,2.74140408,57246,0.17973308,,2808.60569933,1193,974,2.3542378,,49.06204275,"Compras no site",58.51261874,177,0.0402347,48,4.3630902,"Valor de conversão da compra no site",12254.2,2026-01-01,2026-05-25
"[C] [JEJOOM] [CBO]",prospecting,"AD - MORGANA TOFU",active,ad,1.77694251,56967,0.20778696,,517.87410214,372,256,1.39213468,,9.09077364,"Compras no site",86.31235036,30,0.01612903,6,1.75758934,"Valor de conversão da compra no site",910.21,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",prospecting,"AD - BOFU 1",inactive,ad,1.86010261,56921,0.00131762,,1701.37221588,422,353,4.03168772,,29.89006194,"Compras no site",94.52067866,74,0.04265403,18,1.88665947,"Valor de conversão da compra no site",3209.91,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - REFAÇAO",active,ad,1.35429864,56867,0.459036,,2017.01691454,1080,863,1.86760825,,35.46902271,"Compras no site",118.6480538,109,0.01574074,17,1.84264196,"Valor de conversão da compra no site",3716.64,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",existing,"AD - BOFU — Cópia",active,ad,2.88796659,56711,0,,2022.44849361,614,510,3.29389005,,35.66236698,"Compras no site",41.27445905,171,0.07980456,49,5.71527534,"Valor de conversão da compra no site",11558.85,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD - LEMOS TOFU",inactive,ad,1.22543315,56441,0.37876721,,907.74284699,361,266,2.51452312,,16.08303976,"Compras no site",90.7742847,35,0.02770083,10,1.80412328,"Valor de conversão da compra no site",1637.68,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",engaged,tons3_rmkt_01-09-2025,not_delivering,ad,2.2082631,56335,0,,1174.62895575,695,578,1.69011361,,20.85078469,"Compras no site",61.82257662,122,0.02733813,19,3.16265829,"Valor de conversão da compra no site",3714.95,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",prospecting,"AD - MOFU ANA ELISA — Cópia",active,ad,1.71479196,56132,0.31769757,,2575.34471518,1051,861,2.45037556,,45.88015241,"Compras no site",99.05171981,93,0.02473834,26,1.90398977,"Valor de conversão da compra no site",4903.43,2026-01-01,2026-05-25
