"Nome da campanha","Segmentos de público","Nome do anúncio","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - TESTE] [ABO]",prospecting,"AD - JADE TOFU — Cópia",not_delivering,ad,1.47284062,482426,0.1690622,,9095.69613965,4066,3783,2.23701332,,18.85407532,"Compras no site",71.61965464,377,0.03123463,127,2.44317748,"Valor de conversão da compra no site",22222.4,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",existing,"AD - RMKT DANI",active,ad,6.46862718,474021,0.07422667,,20856.96212415,7654,5592,2.72497545,,44.00008043,"Compras no site",51.12000521,1326,0.05330546,408,4.05052469,"Valor de conversão da compra no site",84481.64,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",prospecting,"AD - EVELYN",inactive,ad,2.25421693,465471,0.16743471,,13302.80027571,4298,3954,3.09511407,,28.57922465,"Compras no site",57.83826207,802,0.05351326,230,3.1244805,"Valor de conversão da compra no site",41564.34,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",engaged,"AD - LUCIANA MOFU",inactive,ad,4.44947671,457028,0.16673814,,15678.3468876,7979,6106,1.96495136,,34.30500295,"Compras no site",48.53977365,1038,0.04048126,323,3.3250253,"Valor de conversão da compra no site",52130.9,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"AD - BOFU",active,ad,3.27211428,454212,0,,11942.83418558,4541,3780,2.63000092,,26.29352414,"Compras no site",54.28560993,839,0.04844748,220,4.14893477,"Valor de conversão da compra no site",49550.04,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",existing,AD3,inactive,ad,5.78790315,453488,0,,10800.45126841,3225,2320,3.34897714,,23.81639926,"Compras no site",42.52146169,761,0.07875969,254,4.33714563,"Valor de conversão da compra no site",46843.13,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]",engaged,"AD - BOFU",active,ad,6.52086362,448505,0.11150377,,11046.21437429,3759,2843,2.93860452,,24.62896595,"Compras no site",46.80599311,746,0.06278265,236,3.84604884,"Valor de conversão da compra no site",42484.28,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD - LUCIANA MOFU 2",inactive,ad,1.7177812,446989,0.37983261,,8697.64117809,9002,8060,0.96618987,,19.45828908,"Compras no site",63.48643196,634,0.01521884,137,2.64160817,"Valor de conversão da compra no site",22975.76,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",prospecting,"AD - BOFU — Cópia",inactive,ad,2.16747268,446844,0.05623663,,3492.12243361,1348,1084,2.59059528,,7.81508185,"Compras no site",79.36641895,131,0.03264095,44,2.20766887,"Valor de conversão da compra no site",7709.45,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",engaged,AD1,inactive,ad,4.73737212,444555,0,,6793.92491286,3411,2525,1.99176925,,15.28252952,"Compras no site",55.68790912,517,0.03576664,122,2.86729251,"Valor de conversão da compra no site",19480.17,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]",prospecting,"TESTE CRIATIVOS COMENTARIOS",inactive,ad,1.4224109,435922,0.34421525,,7916.71536992,8783,7971,0.90136803,,18.16085302,"Compras no site",65.97262808,1209,0.01366276,120,3.06857186,"Valor de conversão da compra no site",24293.01,2026-01-01,2026-05-25
"[C] [VARIOS PRODUTO] [ABO] [BID]",prospecting,"AD - RAIZA TOFU",active,ad,2.20793636,431051,0.16525423,,11391.0674038,4797,4021,2.37462318,,26.42626372,"Compras no site",83.1464774,687,0.02855952,137,2.67403738,"Valor de conversão da compra no site",30460.14,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]",engaged,"ADS - TOFU",inactive,ad,3.8091812,427253,0.22918739,,14425.40932466,5475,4064,2.63477796,,33.76315514,"Compras no site",60.86670601,851,0.04328767,237,2.83279865,"Valor de conversão da compra no site",40864.28,2026-01-01,2026-05-25
